replies_count,retweets_count,likes_count,date,High,Low,average_stock
7334,5289,126798,2021-03-08,620.130005,558.789978,589.4599915
656,474,18775,2021-03-08,620.130005,558.789978,589.4599915
11094,36728,402196,2021-03-08,620.130005,558.789978,589.4599915
5016,5863,78633,2021-03-05,627.840027,539.48999,583.6650085
6398,10660,201614,2021-03-05,627.840027,539.48999,583.6650085
519,945,8056,2021-03-05,627.840027,539.48999,583.6650085
235,158,5765,2021-03-05,627.840027,539.48999,583.6650085
1239,3235,52741,2021-03-05,627.840027,539.48999,583.6650085
455,355,9921,2021-03-04,668.450012,600.0,634.225006
761,1306,22228,2021-03-04,668.450012,600.0,634.225006
1139,2768,38781,2021-03-04,668.450012,600.0,634.225006
9364,18226,173258,2021-03-04,668.450012,600.0,634.225006
2665,3909,96217,2021-03-03,700.700012,651.710022,676.205017
8869,9845,199469,2021-03-03,700.700012,651.710022,676.205017
2397,2730,89361,2021-03-03,700.700012,651.710022,676.205017
7113,14931,245503,2021-03-03,700.700012,651.710022,676.205017
278,296,4152,2021-03-03,700.700012,651.710022,676.205017
241,653,4651,2021-03-03,700.700012,651.710022,676.205017
201,195,8434,2021-03-03,700.700012,651.710022,676.205017
151,86,3338,2021-03-03,700.700012,651.710022,676.205017
240,194,5343,2021-03-03,700.700012,651.710022,676.205017
129,187,4964,2021-03-03,700.700012,651.710022,676.205017
164,108,4033,2021-03-03,700.700012,651.710022,676.205017
137,111,1640,2021-03-03,700.700012,651.710022,676.205017
142,114,2767,2021-03-03,700.700012,651.710022,676.205017
561,430,14973,2021-03-03,700.700012,651.710022,676.205017
2396,4383,93804,2021-03-02,721.109985,685.0,703.0549925
234,201,4316,2021-03-02,721.109985,685.0,703.0549925
750,1685,16265,2021-03-02,721.109985,685.0,703.0549925
8334,14143,221730,2021-03-02,721.109985,685.0,703.0549925
238,186,10264,2021-03-02,721.109985,685.0,703.0549925
181,98,3094,2021-03-02,721.109985,685.0,703.0549925
5061,13340,145218,2021-03-02,721.109985,685.0,703.0549925
9524,16849,199463,2021-03-02,721.109985,685.0,703.0549925
828,1994,14417,2021-03-02,721.109985,685.0,703.0549925
384,255,4046,2021-03-02,721.109985,685.0,703.0549925
228,297,4417,2021-03-02,721.109985,685.0,703.0549925
6255,6631,131767,2021-03-02,721.109985,685.0,703.0549925
494,882,27134,2021-03-02,721.109985,685.0,703.0549925
136,173,3673,2021-03-02,721.109985,685.0,703.0549925
9506,26638,283691,2021-03-01,719.0,685.049988,702.024994
12686,25473,295063,2021-03-01,719.0,685.049988,702.024994
5386,15986,196955,2021-03-01,719.0,685.049988,702.024994
860,821,26285,2021-03-01,719.0,685.049988,702.024994
4865,7860,160846,2021-02-26,706.700012,659.51001,683.105011
15426,13160,257584,2021-02-26,706.700012,659.51001,683.105011
218,264,3854,2021-02-26,706.700012,659.51001,683.105011
279,284,4691,2021-02-26,706.700012,659.51001,683.105011
168,118,2710,2021-02-26,706.700012,659.51001,683.105011
2244,3505,111591,2021-02-26,706.700012,659.51001,683.105011
6381,19539,266666,2021-02-26,706.700012,659.51001,683.105011
390,309,5791,2021-02-25,737.210022,670.580017,703.8950195
303,353,3594,2021-02-25,737.210022,670.580017,703.8950195
112,105,2567,2021-02-25,737.210022,670.580017,703.8950195
168,391,3765,2021-02-25,737.210022,670.580017,703.8950195
352,549,10590,2021-02-25,737.210022,670.580017,703.8950195
586,1166,12624,2021-02-25,737.210022,670.580017,703.8950195
143,152,2984,2021-02-25,737.210022,670.580017,703.8950195
372,271,4827,2021-02-25,737.210022,670.580017,703.8950195
3338,4481,148958,2021-02-25,737.210022,670.580017,703.8950195
106,77,2000,2021-02-25,737.210022,670.580017,703.8950195
13222,32664,384577,2021-02-25,737.210022,670.580017,703.8950195
19270,26325,393782,2021-02-25,737.210022,670.580017,703.8950195
321,226,7154,2021-02-25,737.210022,670.580017,703.8950195
6620,10321,184173,2021-02-25,737.210022,670.580017,703.8950195
907,443,12056,2021-02-25,737.210022,670.580017,703.8950195
7588,9817,210223,2021-02-25,737.210022,670.580017,703.8950195
995,658,16877,2021-02-25,737.210022,670.580017,703.8950195
2035,4698,47443,2021-02-24,745.0,694.169983,719.5849915
6081,12050,182946,2021-02-24,745.0,694.169983,719.5849915
22730,69493,577876,2021-02-24,745.0,694.169983,719.5849915
218,261,3869,2021-02-24,745.0,694.169983,719.5849915
158,143,2859,2021-02-24,745.0,694.169983,719.5849915
220,305,5928,2021-02-24,745.0,694.169983,719.5849915
118,83,2157,2021-02-24,745.0,694.169983,719.5849915
200,362,3516,2021-02-24,745.0,694.169983,719.5849915
493,435,15327,2021-02-24,745.0,694.169983,719.5849915
79,132,3592,2021-02-24,745.0,694.169983,719.5849915
477,527,13237,2021-02-24,745.0,694.169983,719.5849915
198,318,5394,2021-02-24,745.0,694.169983,719.5849915
524,219,7033,2021-02-23,713.609985,619.0,666.3049925
1433,777,27436,2021-02-23,713.609985,619.0,666.3049925
15910,11238,208074,2021-02-23,713.609985,619.0,666.3049925
370,601,6659,2021-02-23,713.609985,619.0,666.3049925
4597,10498,147032,2021-02-23,713.609985,619.0,666.3049925
520,652,33318,2021-02-23,713.609985,619.0,666.3049925
298,129,3005,2021-02-23,713.609985,619.0,666.3049925
766,463,15862,2021-02-22,768.5,710.200012,739.350006
145,103,2458,2021-02-22,768.5,710.200012,739.350006
242,135,3504,2021-02-22,768.5,710.200012,739.350006
272,173,2821,2021-02-22,768.5,710.200012,739.350006
1973,2370,60934,2021-02-22,768.5,710.200012,739.350006
2241,1775,56904,2021-02-22,768.5,710.200012,739.350006
316,388,4405,2021-02-22,768.5,710.200012,739.350006
263,383,4120,2021-02-22,768.5,710.200012,739.350006
3422,2939,86803,2021-02-22,768.5,710.200012,739.350006
29495,46291,451770,2021-02-19,796.789978,777.369995,787.0799865
14653,19746,287506,2021-02-19,796.789978,777.369995,787.0799865
1735,3315,124871,2021-02-19,796.789978,777.369995,787.0799865
233,175,3376,2021-02-19,796.789978,777.369995,787.0799865
974,1089,8833,2021-02-19,796.789978,777.369995,787.0799865
2187,6318,35319,2021-02-19,796.789978,777.369995,787.0799865
992,3476,27738,2021-02-19,796.789978,777.369995,787.0799865
1290,2488,39686,2021-02-19,796.789978,777.369995,787.0799865
527,302,7506,2021-02-18,794.690002,776.27002,785.4800110000001
11130,9010,143334,2021-02-17,799.840027,762.01001,780.9250185
790,1551,13062,2021-02-17,799.840027,762.01001,780.9250185
3098,1421,39705,2021-02-16,821.0,792.440002,806.720001
2596,3038,25780,2021-02-16,821.0,792.440002,806.720001
1146,2167,29517,2021-02-16,821.0,792.440002,806.720001
412,244,7128,2021-02-16,821.0,792.440002,806.720001
489,808,14173,2021-02-16,821.0,792.440002,806.720001
453,511,4066,2021-02-16,821.0,792.440002,806.720001
112,234,1423,2021-02-16,821.0,792.440002,806.720001
3218,4299,39590,2021-02-12,817.330017,785.330017,801.330017
402,262,6131,2021-02-12,817.330017,785.330017,801.330017
1396,1527,59412,2021-02-12,817.330017,785.330017,801.330017
2143,8297,28287,2021-02-12,817.330017,785.330017,801.330017
579,790,27204,2021-02-11,829.880005,801.72998,815.8049925
18638,31455,434209,2021-02-11,829.880005,801.72998,815.8049925
19831,30389,248030,2021-02-11,829.880005,801.72998,815.8049925
449,219,5964,2021-02-11,829.880005,801.72998,815.8049925
310,364,5835,2021-02-11,829.880005,801.72998,815.8049925
4019,7992,132498,2021-02-10,844.820007,800.02002,822.4200135000001
530,1351,7647,2021-02-10,844.820007,800.02002,822.4200135000001
12846,23302,329798,2021-02-10,844.820007,800.02002,822.4200135000001
7522,7618,178808,2021-02-10,844.820007,800.02002,822.4200135000001
320,463,9227,2021-02-10,844.820007,800.02002,822.4200135000001
29116,59638,551419,2021-02-10,844.820007,800.02002,822.4200135000001
371,106,2276,2021-02-10,844.820007,800.02002,822.4200135000001
336,234,5264,2021-02-10,844.820007,800.02002,822.4200135000001
1028,959,21029,2021-02-10,844.820007,800.02002,822.4200135000001
333,212,8246,2021-02-10,844.820007,800.02002,822.4200135000001
9961,11796,195961,2021-02-10,844.820007,800.02002,822.4200135000001
2073,4719,29118,2021-02-10,844.820007,800.02002,822.4200135000001
1595,1879,24439,2021-02-10,844.820007,800.02002,822.4200135000001
1589,906,36320,2021-02-09,859.799988,841.75,850.774994
752,1199,10918,2021-02-09,859.799988,841.75,850.774994
